Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Revoke_CIP_Access_WorkflowId,10,259,276,303,303,372,155,372,0.000%,.01850,0.03,0.02
login_Inbox-api/identitytype/find,8,172,128,232,347,347,117,347,0.000%,.01584,0.02,0.02
Request_Workstation_Admin_Access_getnewids,10,138,144,160,160,163,85,163,0.000%,.01855,0.01,0.02
login_Inbox-api/prerequisite/find,8,195,168,220,404,404,107,404,0.000%,.01585,0.03,0.02
Settings_RequestType-api/accessrequesttype/find,8,1411,1388,1582,1757,1757,1060,1757,0.000%,.01568,0.78,0.02
Request Server Admin Access_api/messagelog/save,10,211,184,306,306,426,108,426,0.000%,.01851,0.02,0.02
Settings_System-api/system/find,8,527,490,625,714,714,375,714,0.000%,.01572,0.12,0.02
login_Inbox-api/getnewids,8,124,123,143,161,161,92,161,0.000%,.01586,0.01,0.02
Settings_SystemType-api/getnewids,8,142,117,171,267,267,86,267,0.000%,.01572,0.01,0.02
login_Inbox-api/asset/find,8,206,187,257,328,328,110,328,0.000%,.01587,0.01,0.02
CIP: Information Access_SetDoc-2,20,884,891,1035,1052,1107,709,1107,0.000%,.03531,0.04,0.04
Request_Workstation_Admin_Access_api/messagelog/save,10,238,215,297,297,395,150,395,0.000%,.01852,0.02,0.02
Non CIP: ELECTRONIC ACCESS_SetDoc-1,10,1938,1847,2191,2191,2236,1693,2236,0.000%,.01848,0.02,0.03
Request Unix Linux Service Account_SetDoc-1,10,775,683,859,859,1176,617,1176,0.000%,.01844,0.02,0.02
Settings_System-api/systemtype/find,8,740,724,827,906,906,575,906,0.000%,.01573,0.14,0.02
Settings_SystemType-api/lists/find,8,161,159,186,200,200,118,200,0.000%,.01573,0.01,0.02
login_Inbox-api/lists/find-36,8,197,186,223,330,330,130,330,0.000%,.01586,0.06,0.02
Revoke_CIP_Access_SetDoc-1,10,778,760,860,860,1060,616,1060,0.000%,.01849,0.02,0.02
Settings_WorkflowDesigner-api/workflow/find,8,178,162,223,261,261,135,261,0.000%,.01575,0.05,0.02
Settings_MessageMaster-api/messagemaster/find,8,4145,4063,4261,4651,4651,3819,4651,0.000%,.01561,1.01,0.02
Inbox-api/messagelog/header/find?_dc=1698502753503,8,570,558,619,653,653,484,653,0.000%,.01585,0.07,0.02
Settings_MessageMaster-api/lists/find,8,159,161,175,233,233,108,233,0.000%,.01573,0.02,0.02
PolicyEngine_ManageMitigation-api/configsetting/find,8,131,116,196,209,209,63,209,0.000%,.01574,0.01,0.02
Settings_SystemType-api/systemtype/find,8,754,727,902,904,904,624,904,0.000%,.01572,0.14,0.02
Inbox-api/workflow/getdocstatus/workflowId,8,355,319,420,489,489,257,489,0.000%,.01587,0.02,0.02
PolicyEngine_ManageMitigation-api/getnewids,8,107,93,133,148,148,71,148,0.000%,.01573,0.01,0.02
Request_Workstation_Admin_Access_RequestSave,10,654,656,718,718,831,450,831,0.000%,.01848,0.05,0.03
Request Server Admin Access_RequestSave,10,525,460,671,671,841,391,841,0.000%,.01853,0.04,0.03
PolicyEngine_ManagePolicy-api/getnewids,8,115,118,131,143,143,74,143,0.000%,.01574,0.01,0.02
PolicyEngine_ManageMitigation-api/mitigationcontrol/find,8,151,139,179,218,218,120,218,0.000%,.01573,0.01,0.02
PolicyEngine_ManagePolicy-api/lists/find,8,173,152,209,230,230,127,230,0.000%,.01574,0.01,0.02
Request Unix Linux Service Account_SetDoc-2,10,506,479,582,582,649,413,649,0.000%,.01847,0.02,0.02
PolicyEngine_ManagePolicy-api/policy/find,8,388,351,434,534,534,315,534,0.000%,.01573,0.18,0.02
CIP: Information Access_SetDoc-3,20,1060,1048,1199,1295,1348,880,1348,0.000%,.03538,0.04,0.04
Request_Workstation_Admin_Access_WorkflowId,10,328,283,523,523,557,215,557,0.000%,.01844,0.05,0.02
PolicyEngine_ManagePolicyGroup-api/policygroup/find,8,166,137,217,324,324,102,324,0.000%,.01575,0.02,0.02
Revoke_CIP_Access_SetDoc-2,10,990,961,1121,1121,1266,733,1266,0.000%,.01850,0.02,0.02
Request Server Admin Access_WorkflowId,10,267,264,331,331,351,193,351,0.000%,.01854,0.04,0.02
PolicyEngine_ManagePolicyType-0,8,177,119,231,463,463,106,463,0.000%,.01573,0.01,0.02
Non CIP: ELECTRONIC ACCESS_SetDoc-2,10,2055,2053,2170,2170,2344,1789,2344,0.000%,.01853,0.02,0.03
Request Unix Linux Service Account_SetDoc-3,10,698,675,848,848,905,505,905,0.000%,.01844,0.02,0.02
PolicyEngine_ManageResponse-api/lists/find-1,8,200,195,229,286,286,138,286,0.000%,.01574,0.01,0.02
PolicyEngine_ManageResponse-api/lists/find-2,8,146,130,186,188,188,109,188,0.000%,.01575,0.01,0.02
Request Server Admin Access_SetDoc-1,10,617,621,667,667,670,482,670,0.000%,.01850,0.02,0.02
Request_Workstation_Admin_Access_SetDoc-1,10,712,677,854,854,892,585,892,0.000%,.01844,0.02,0.02
PolicyEngine_ManageRisk-api/risk/find,8,185,152,293,327,327,99,327,0.000%,.01573,0.01,0.02
PolicyEngine_ManageRule-api/getnewids,8,114,112,122,219,219,73,219,0.000%,.01574,0.01,0.02
PolicyEngine_ManageRule-api/lists/find,8,170,144,230,251,251,108,251,0.000%,.01573,0.01,0.02
Request Unix Linux Service Account_SetDoc-4,10,1107,1009,1276,1276,1292,838,1292,0.000%,.01843,0.02,0.02
